"-- Select --","-- Select --"
"-- Select Zone --","-- Select Zone --"
"Action","Action"
"Actions","Actions"
"Activity Log","Activity Log"
"Activity Log Retention (days)","Activity Log Retention (days)"
"Add a CNAME record to your DNS provider:","Add a CNAME record to your DNS provider:"
"Add Another Store","Add Another Store"
"API Email","API Email"
"API Token / Key","API Token / Key"
"Auto-configured","Auto-configured"
"Auto-set from Maho store view. Used as KV prefix.","Auto-set from Maho store view. Used as KV prefix."
"Back","Back"
"Blog Posts","Blog Posts"
"Cache Management","Cache Management"
"Cache purge failed: %s","Cache purge failed: %s"
"Categories","Categories"
"Checking...","Checking..."
"CMS","CMS"
"CMS Pages & Blocks","CMS Pages & Blocks"
"Code","Code"
"Complete","Complete"
"Config","Config"
"Configure now","Configure now"
"Connected","Connected"
"Copied!","Copied!"
"Countries","Countries"
"Cron","Cron"
"Custom","Custom"
"Daily at 2:00 AM","Daily at 2:00 AM"
"Dashboard","Dashboard"
"Delete Selected","Delete Selected"
"Details","Details"
"DNS Configuration Required","DNS Configuration Required"
"DNS Status","DNS Status"
"Duration","Duration"
"Edge cache purged successfully (%dms).","Edge cache purged successfully (%dms)."
"Error","Error"
"Every 4 hours","Every 4 hours"
"Every 15 minutes","Every 15 minutes"
"Every 30 minutes","Every 30 minutes"
"Every hour","Every hour"
"Failed to load zones","Failed to load zones"
"Full Sync","Full Sync"
"General","General"
"Go to Dashboard","Go to Dashboard"
"Individual Sync","Individual Sync"
"Initializing...","Initializing..."
"Invalid cron expression. Use 5-field format: minute hour day month weekday","Invalid cron expression. Use 5-field format: minute hour day month weekday"
"Key","Key"
"KV Store","KV Store"
"Last Sync","Last Sync"
"Loading...","Loading..."
"Loading zones...","Loading zones..."
"Load Keys","Load Keys"
"Maho Store View","Maho Store View"
"Manual setup required","Manual setup required"
"Never","Never"
"New Store","New Store"
"New Store Wizard","New Store Wizard"
"Next","Next"
"No activity recorded yet.","No activity recorded yet."
"No keys found.","No keys found."
"No stores registered yet.","No stores registered yet."
"No sync type specified.","No sync type specified."
"Open Dashboard","Open Dashboard"
"Please enter at least one URL.","Please enter at least one URL."
"Please fill in all fields.","Please fill in all fields."
"Please select at least one key.","Please select at least one key."
"Products","Products"
"Provisioning","Provisioning"
"Provisioning complete!","Provisioning complete!"
"Provision Store","Provision Store"
"Purge All Cache","Purge All Cache"
"Purged %d URL(s) from edge cache (%dms).","Purged %d URL(s) from edge cache (%dms)."
"Purge entire edge cache?","Purge entire edge cache?"
"Purge specific URLs","Purge specific URLs"
"Purge URLs","Purge URLs"
"Purge URLs (one per line):","Purge URLs (one per line):"
"Registered Stores","Registered Stores"
"Remove","Remove"
"Remove this store from the registry?","Remove this store from the registry?"
"Rollback","Rollback"
"Roll back all completed provisioning steps?","Roll back all completed provisioning steps?"
"Rollback complete.","Rollback complete."
"Rollback failed.","Rollback failed."
"Rolling back...","Rolling back..."
"Settings","Settings"
"Status","Status"
"Store Code","Store Code"
"Store Config","Store Config"
"Store Details","Store Details"
"Storefront","Storefront"
"Storefront Dashboard","Storefront Dashboard"
"Storefront is not configured.","Storefront is not configured."
"Store Name","Store Name"
"Store Onboarding","Store Onboarding"
"Store URL","Store URL"
"Store View","Store View"
"Subdomain","Subdomain"
"Success","Success"
"Successfully synced %s (%dms).","Successfully synced %s (%dms)."
"Sync","Sync"
"Sync complete!","Sync complete!"
"Sync failed: %s","Sync failed: %s"
"Syncing","Syncing"
"Syncs all content types step-by-step","Syncs all content types step-by-step"
"Test Connection","Test Connection"
"Time","Time"
"Tip: Shift+click to select a range","Tip: Shift+click to select a range"
"URL","URL"
"URL purge failed: %s","URL purge failed: %s"
"User","User"
"Use the Storefront Dashboard for sync operations and cache management.","Use the Storefront Dashboard for sync operations and cache management."
"Validating...","Validating..."
"Validation","Validation"
"Worker Script Name","Worker Script Name"
"Worker Status","Worker Status"
"Worker Store Code","Worker Store Code"
"Zone","Zone"
